日期,现有确诊,累计确诊,治愈病例,死亡病例,满意度,
1.26,2630,2761,51,80,0.41061331,2299
1.27,4369,4535,60,106,0.390892963,1691
1.28,5762,5997,103,132,0.421052632,1672
1.29,7440,7736,126,170,0.366748166,1227
1.30,9336,9720,171,213,0.372919818,
1.31,11319,11821,243,259,0.433133733,
2.1,13779,14411,328,304,0.4187251,
2.2,16402,17238,475,361,0.358404186,
2.3,19414,20471,632,425,0.416588124,
2.4,22980,24363,892,491,0.483333333,
2.5,26343,28060,1153,564,0.32455216,
2.6,29032,31211,1542,637,0.390804598,
2.7,31825,34598,2050,723,0.382899628,
2.8,33788,37251,2651,812,0.498364231,
2.9,36043,40235,3283,909,0.45410628,
2.10,37693,42708,3998,1017,0.4187251,
2.11,38874,44730,4742,1114,0.41588785,
2.12,52599,59882,5915,1368,0.405005688,
2.13,55823,63932,6728,1381,0.405345212,
2.14,56951,66576,8101,1524,0.451728248,
2.15,57493,68584,9425,1666,0.436848204,
2.16,58010,70635,10853,1772,0.452736318,
2.17,58097,72528,12561,1870,0.525198939,
2.18,57886,74279,14387,2006,0.420168067,
2.19,56810,75101,16170,2121,0.346153846,
2.20,55475,75993,18279,2239,0.358404186,
2.21,53371,76392,20673,2348,0,
2.22,51689,77041,22907,2445,0.425925926,
2.23,49910,77262,24757,2595,0.376190476,
2.24,47760,77779,27353,2666,0.432835821,
2.25,45697,78190,29775,2718,0.418250951,
2.26,43352,78630,32531,2747,0.381147541,
2.27,40011,78959,36157,2791,0.398854962,
2.28,37502,79389,39049,2838,0.403628118,
2.29,35420,79968,41675,2873,0.405144695,
3.1,32741,80174,44518,2915,0.428452579,
3.2,30096,80302,47260,2946,0.518716578,
3.3,27524,80422,49914,2984,0.501787843,
3.4,25441,80565,52109,3015,0.5,
3.5,23872,80710,53793,3045,0.600451467,
3.6,22263,80813,55477,3073,0.501984127,
3.7,20616,80859,57143,3100,0.5,
3.8,19097,80904,58684,3123,0.580865604,
3.9,17802,80924,59982,3140,0.5,
3.10,16226,80955,61567,3162,0.428452579,
3.11,14920,80980,62887,3173,0.439363817,
3.12,13607,81003,64216,3180,0.483033932,
3.13,12178,81021,65649,3194,0.439232409,
3.14,10822,81048,67022,3204,0.475689882,
3.15,9996,81077,67863,3218,0.483870968,
3.16,9086,81116,68799,3231,0.429931973,
3.17,8184,81151,69725,3242,0.51138088,
3.18,7438,81235,70547,3250,0.536866359,
3.19,6763,81300,71284,3253,0.478787879,
3.20,6279,81416,71876,3261,0.518716578,
3.21,5849,81498,72382,3267,0.49071618,
3.22,5483,81600,72841,3276,0.52764977,
3.23,5165,81747,73299,3283,0.527491409,
3.24,4768,81846,73791,3287,0.518201285,
3.25,4471,81960,74196,3293,0.484909457,
3.26,4043,82078,74737,3298,0.477375566,
3.27,3790,82213,75122,3301,0.457960644,
3.28,3435,82341,75600,3306,0.481042654,
3.29,3199,82447,75937,3311,0.484251969,
3.30,3006,82545,76225,3314,0.501787843,
3.31,2895,82631,76415,3321,0.40874036,
4.1,2787,82724,76610,3327,0.489552239,
4.2,2686,82802,76785,3331,0.422965116,
4.3,2556,82875,76984,3335,0.513333333,
4.4,2382,82930,77210,3338,0.489051095,
4.5,2317,83005,77348,3340,0.34939759,
4.6,2281,83071,77450,3340,0.421383648,
4.7,2229,83157,77586,3342,0.473867596,
4.8,2194,83249,77711,3344,0.644793153,
4.9,2122,83305,77838,3345,0.535901926,
4.10,2085,83369,77935,3349,0.489552239,
4.11,2113,83482,78020,3349,0.505988024,
4.12,2101,83597,78145,3351,0.489130435,
4.13,2083,83696,78262,3351,0.531598513,
4.14,2004,83745,78389,3352,0.436440678,
4.15,1941,83797,78504,3352,0.532846715,
4.16,1872,83824,78600,3352,0.471518987,
4.17,1794,84180,77744,4642,0.576,
4.18,1734,84201,77825,4642,0.409774436,
4.19,1700,84237,77895,4642,0.523178808,
4.20,1630,84250,77978,4642,0.422965116,
4.21,1603,84287,78042,4642,0.50678733,
4.22,1513,84302,78147,4642,0.5,
4.23,1433,84311,78236,4642,0.43902439,
4.24,1320,84324,78362,4642,0.508695652,
4.25,1246,84338,78450,4642,0.511627907,
4.26,1140,84341,78558,4643,0.468965517,
4.27,1040,84347,78664,4643,0.408333333,
4.28,997,84369,78729,4643,0.431578947,
4.29,945,84373,78785,4643,0.464114833,
4.30,897,84385,78845,4643,0.513333333,
5.1,840,84388,78905,4643,0.480144404,
5.2,811,84393,78939,4643,0.638743455,
5.3,741,84400,79016,4643,0.546610169,
5.4,635,84404,79126,4643,0.635,
5.5,559,84406,79204,4643,0.659003831,
5.6,498,84409,79268,4643,0.518987342,
5.7,448,84415,79324,4643,0.404761905,
5.8,372,84416,79401,4643,0.411290323,
5.9,299,84430,79488,4643,0.43902439,
5.10,274,84450,79533,4643,0.480144404,
5.11,241,84451,79566,4644,0.509803922,
5.12,220,84458,79594,4644,0.530201342,
5.13,199,84464,79621,4644,0.550898204,
5.14,181,84469,79644,4644,0.453125,
5.15,166,84478,79668,4644,0.532110092,
5.16,157,84484,79682,4645,0.46875,
5.17,148,84494,79701,4645,0.652631579,
5.18,147,84500,79708,4645,0.836734694,
