日期,平滑比例,原始比例,前二十原始比例,时间比例,搜索比例,相关个数,总数
2020/1/1,0,0,0,0,0,0,300
2020/1/2,0.004545455,0.009090909,0.009090909,0.011111111,0.021370011,3,330
2020/1/3,0.006298701,0.007142857,0.003571429,0.010694444,0.00769649,2,280
2020/1/4,0.005558483,0.003194888,0.003194888,0.006805556,0.003346818,1,313
2020/1/5,0.004532961,0.004291845,0.004291845,0.002638889,0.018150645,1,233
2020/1/6,0.003872057,0.003891051,0.003891051,0.007916667,0.004335216,1,257
2020/1/7,0.003618041,0.003184713,0.003184713,0.007083333,0.003397457,1,314
2020/1/8,0.003494188,0.003521127,0.003521127,0.002361111,0.010412176,1,284
2020/1/9,0.007462511,0.011538462,0.011538462,0.024027778,0.016996784,3,260
2020/1/10,0.004165764,0,0,0,0,0,289
2020/1/11,0.00757085,0.010526316,0.007017544,0.014027778,0.013457384,3,285
2020/1/12,0.003157895,0,0,0,0,0,233
2020/1/13,0.004214968,0.004219409,0,0.000833333,0.000791744,1,237
2020/1/14,0.003181532,0.003831418,0.003831418,0.007361111,0.017499913,1,261
2020/1/15,0.007165721,0.010344828,0.006896552,0.010138889,0.020353039,3,290
2020/1/16,0.007775982,0.0078125,0.00390625,0.008611111,0.005617163,2,256
2020/1/17,0.008632125,0.008438819,0.008438819,0.010972222,0.012285297,2,237
2020/1/18,0.015011176,0.021834061,0.008733624,0.022777778,0.02593755,5,229
2020/1/19,0.022523696,0.028571429,0.028571429,0.037361111,0.100143716,8,280
2020/1/20,0.069810279,0.113744076,0.099526066,0.124444444,0.205963345,24,211
2020/1/21,0.1317294,0.183783784,0.172972973,0.221388889,0.297646325,34,185
2020/1/22,0.234565978,0.313364055,0.285714286,0.3875,0.531410644,68,217
2020/1/23,0.334991325,0.408450704,0.328638498,0.505416667,0.488008242,87,213
2020/1/24,0.366675204,0.362934363,0.277992278,0.446805556,0.33226258,94,259
2020/1/25,0.353533413,0.325925926,0.251851852,0.374166667,0.406873198,88,270
2020/1/26,0.375074795,0.40942029,0.257246377,0.402083333,0.512446685,113,276
2020/1/27,0.394622842,0.41322314,0.243801653,0.441111111,0.451954993,100,242
2020/1/28,0.408916134,0.406130268,0.222222222,0.397638889,0.444052385,106,261
2020/1/29,0.419930863,0.430894309,0.260162602,0.3975,0.45572596,106,246
2020/1/30,0.432477105,0.443965517,0.232758621,0.431944444,0.405817052,103,232
2020/1/31,0.402358208,0.365979381,0.226804124,0.355138889,0.380525339,71,194
2020/2/1,0.395770016,0.394366197,0.23943662,0.429861111,0.444824906,84,213
2020/2/2,0.356577506,0.330143541,0.224880383,0.345416667,0.402705425,69,209
2020/2/3,0.298286672,0.240740741,0.152777778,0.24125,0.28260727,52,216
2020/2/4,0.301041628,0.325581395,0.195348837,0.304861111,0.324215703,70,215
2020/2/5,0.351564194,0.411483254,0.258373206,0.421538462,0.426857142,86,209
2020/2/6,0.403136154,0.429149798,0.222672065,0.4125,0.493171778,106,247
2020/2/7,0.405256466,0.388429752,0.231404959,0.378333333,0.500340117,94,242
2020/2/8,0.380930314,0.357142857,0.261904762,0.34625,0.377694941,75,210
2020/2/9,0.333050151,0.296442688,0.166007905,0.293472222,0.37089613,75,253
2020/2/10,0.3325836,0.344444444,0.2,0.326944444,0.401970994,93,270
2020/2/11,0.319440053,0.313636364,0.218181818,0.359305556,0.347540544,69,220
2020/2/12,0.313386302,0.300813008,0.146341463,0.285874126,0.281290649,74,246
2020/2/13,0.276938117,0.247933884,0.128099174,0.222083333,0.292165976,60,242
2020/2/14,0.297042767,0.325,0.15,0.287272727,0.305614593,91,280
2020/2/15,0.266777897,0.239382239,0.142857143,0.220277778,0.252000795,62,259
2020/2/16,0.251909011,0.230188679,0.143396226,0.242638889,0.281839407,61,265
2020/2/17,0.218559068,0.203252033,0.130081301,0.218461538,0.250151022,50,246
2020/2/18,0.226731655,0.23943662,0.154929577,0.264305556,0.278774417,68,284
2020/2/19,0.252725295,0.280487805,0.162601626,0.257638889,0.288242345,69,246
2020/2/20,0.266459895,0.268852459,0.121311475,0.262638889,0.265857719,82,305
2020/2/21,0.266185923,0.258865248,0.163120567,0.253888889,0.340846714,73,282
2020/2/22,0.268930066,0.275,0.171428571,0.300555556,0.337629267,77,280
2020/2/23,0.276378313,0.284210526,0.161403509,0.271527778,0.314071035,81,285
2020/2/24,0.263158781,0.245791246,0.148148148,0.230555556,0.253288307,73,297
2020/2/25,0.26207795,0.262996942,0.134556575,0.260277778,0.252448065,86,327
2020/2/26,0.250573888,0.245033113,0.122516556,0.252222222,0.263591155,74,302
2020/2/27,0.291762818,0.331306991,0.151975684,0.313055556,0.346074525,109,329
2020/2/28,0.270060441,0.243323442,0.133531157,0.277777778,0.28953902,82,337
2020/2/29,0.286317254,0.294117647,0.169934641,0.270138889,0.280052357,90,306
2020/3/1,0.277524983,0.28125,0.149305556,0.254166667,0.313318591,81,288
2020/3/2,0.262799858,0.239202658,0.139534884,0.231527778,0.265080506,72,301
2020/3/3,0.251039189,0.246056782,0.113564669,0.217222222,0.209833376,78,317
2020/3/4,0.251794553,0.260273973,0.136986301,0.265555556,0.275174196,76,292
2020/3/5,0.242541775,0.230496454,0.109929078,0.210694444,0.241383598,65,282
2020/3/6,0.242562954,0.242718447,0.13592233,0.207222222,0.229279146,75,309
2020/3/7,0.215800638,0.193771626,0.114186851,0.189444444,0.202332281,56,289
